   3 rapproche alors même 
   2 sont plus complexes 
   2 est très variable 
   2 est très difficile 
   2 est désormais possible 
   2 est désormais obligatoire 
   2 découvrir autour d'un 
   2 considérés comme dangereux 
   2 considéré comme l'un 
   2 a tout juste 
   2 a près d'un 
   2 a plus d'un 
   1 voient comme l'un 
   1 vit donc l'exact 
   1 visant souvent d'autres 
   1 veut bien l'argent 
   1 veulent plus qu'un 
   1 va bien … 
   1 tuée près d'Agen 
   1 traite près d'un 
   1 touchés lors d'un 
   1 surviennent moins d'un 
   1 suis très sceptique 
   1 suis pas rancunier 
   1 suis pas antimasque 
   1 souffre déjà d'un 
   1 sont-elles vraiment nécessaires 
   1 sont trop restrictives 
   1 sont très majoritaires 
   1 sont très inquiétantes 
   1 sont très favorables 
   1 sont très difficiles 
   1 sont très critiques 
   1 sont très contraignantes 
   1 sont toutefois vulnérables 
   1 sont souvent sensibles 
   1 sont souvent majoritaires 
   1 sont si puissants 
   1 sont si populaires 
   1 sont si nombreux 
   1 sont pourtant clairs 
   1 sont plutôt positifs 
   1 sont plus transparentes 
   1 sont peu regardants 
   1 sont peu contagieux 
   1 sont pas suffisantes 
   1 sont pas fous 
   1 sont pas exhaustifs 
   1 sont pas équivalents 
   1 sont lourdement armés 
   1 sont guère différentes 
   1 sont extrêmement importants 
   1 sont encore préliminaires 
   1 sont encore inconnues 
   1 soient quasiment vides 
   1 signalées comme malades 
   1 seront très profondes 
   1 seront très attentifs 
   1 seront pleinement opérationnels 
   1 serait trop importante 
   1 serait plus rapide 
   1 serait peu utile 
   1 serait pas éthique 
   1 serait désormais nécessaire 
   1 sera très difficile 
   1 sera quasi normal 
   1 sera plus strict 
   1 sera plus obligatoire 
   1 sera plus cartellisé 
   1 sera peut-être lente 
   1 sera pas suffisante 
   1 sera pas suffisant 
   1 sera pas favorable 
   1 sera fortement négative 
   1 sembler trop directif 
   1 semblent moins dangereuses 
   1 semblent guère payantes 
   1 savoir si l'impact 
   1 s'imposer comme favori 
   1 s'exprimait lors d'un 
   1 s'agit là d'une 
   1 s'accusent mutuellement d'incidents 
   1 révèle extrêmement coûteuse 
   1 retirer provisoirement l'âge 
   1 retiré plus d'argent 
   1 restera loin d'un 
   1 restera comme l'auteur 
   1 rester si sages 
   1 restent moins nombreuses 
   1 reste très difficile 
   1 reste totalement imprévisible 
   1 reste souvent synonyme 
   1 reste relativement stable 
   1 reste pourtant réticente 
   1 reste peu probable 
   1 resté peu disert 
   1 reste encore lointaine 
   1 reste complètement incertaine 
   1 ressorti presque intact 
   1 respire tout seul 
   1 rendu très vulnérable 
   1 rendu quasi inutile 
   1 rendre plus tangible 
   1 rendent évidemment anxieux 
   1 rendant parfois difficile 
   1 rend plus dangereux 
   1 rend peu probable 
   1 rend particulièrement difficile 
   1 recruter plus d'adeptes 
   1 reconnue comme mère 
   1 reconnaît plus d'un 
   1 réalisée auprès d'élèves 
   1 qua non d'un 
   1 prouve pas qu'Emmanuel 
   1 produite près d'un 
   1 produit plus d'électricité 
   1 prévoit notamment qu'Israël 
   1 plaide non coupable 
   1 peuvent plus bénéficier 
   1 perçoivent plus d'argent 
   1 payer plus d'impôts 
   1 partira donc seule 
   1 paraît peu probable 
   1 paraisse encore lointaine 
   1 noyé lors d'un 
   1 naît pas grosse 
   1 n'ont pas d'échappatoire 
   1 n'était plus possible 
   1 n'était plus fiévreux 
   1 n'étaient pas compatibles 
   1 n'est pas unie 
   1 n'est pas favorable 
   1 n'est pas efficace 
   1 n'a rien d'un 
   1 n'a pas droit 
   1 mort lors d'une 
   1 montrées trop zélées 
   1 montre très prudent 
   1 met ainsi fin 
   1 marqués socialement … 
   1 libéré près d'un 
   1 lâche pas l'affaire 
   1 l'instant peu nombreux 
   1 jugés plus libres 
   1 jugés non rémunérateurs 
   1 jugent pas prioritaire 
   1 jugée trop politique 
   1 jugée trop légère 
   1 jugée suffisamment sûre 
   1 jugé trop proche 
   1 juge plutôt réaliste 
   1 jugé pénalement irresponsable 
   1 jouit officiellement d'un 
   1 investie tout entière 
   1 interpellées lors d'une 
   1 interpellée lors d'une 
   1 glisseront plus d'une 
   1 fut d'abord grand 
   1 fermer près d'un 
   1 fera bien sûr 
   1 fallu moins d'un 
   1 faites pas d'erreur 
   1 fait vraiment beau 
   1 fait trop chaud 
   1 fait toujours l'objet 
   1 fait près d'un 
   1 fait long feu 
   1 faisait déjà l'objet 
   1 exprimé lors d'une 
   1 exploser lors d'un 
   1 être tout proche 
   1 être plus souple 
   1 être plus foncé 
   1 êtes plutôt tchin-tchin 
   1 été très vives 
   1 été très difficile 
   1 été très brutal 
   1 été plus difficile 
   1 été plus chauds 
   1 été aussi proche 
   1 été aussi populaire 
   1 été aussi nombreux 
   1 été aussi noirs 
   1 été aussi longue 
   1 été aussi léthargique 
   1 été aussi avide 
   1 était réellement méritocratique 
